ds,y
2021-07-06,19.17
2021-07-07,19.04
2021-07-08,19.84
2021-07-09,19.35
2021-07-10,18.86
2021-07-11,18.8
2021-07-12,19.1
2021-07-13,18.74
2021-07-14,19.23
2021-07-15,19.1
2021-07-16,19.1
2021-07-17,19.04
2021-07-18,19.41
2021-07-19,19.17
2021-07-20,19.35
2021-07-21,19.41
2021-07-22,19.84
2021-07-23,19.23
2021-07-24,18.19
2021-07-25,18.8
2021-07-26,18.68
2021-07-27,19.53
2021-07-28,19.29
2021-07-29,18.92
2021-07-30,19.17
2021-07-31,18.98
2021-08-01,19.1
2021-08-02,19.04
2021-08-03,18.01
2021-08-04,19.29
2021-08-05,19.23
2021-08-06,19.53
2021-08-07,19.47
2021-08-08,18.62
2021-08-09,18.49
2021-08-10,18.31
2021-08-11,18.8
2021-08-12,18.62
2021-08-13,18.49
2021-08-14,18.31
2021-08-15,18.92
2021-08-16,18.68
2021-08-17,18.98
2021-08-18,18.13
2021-08-19,18.62
2021-08-20,18.92
2021-08-21,18.92
2021-08-22,18.62
2021-08-23,18.25
2021-08-24,18.13
2021-08-25,18.98
2021-08-26,18.98
2021-08-27,19.17
2021-08-28,19.1
2021-08-29,18.49
2021-08-30,18.68
2021-08-31,19.23
2021-09-01,19.1
2021-09-02,18.92
2021-09-03,18.74
2021-09-04,18.98
2021-09-05,19.47
2021-09-06,19.23
2021-09-07,19.1
2021-09-08,18.8
2021-09-09,18.62
2021-09-10,18.92
2021-09-11,18.68
2021-09-12,18.43
2021-09-13,18.86
2021-09-14,19.47
2021-09-15,20.2
2021-09-16,19.17
2021-09-17,19.23
2021-09-18,18.8
2021-09-19,19.53
2021-09-20,19.53
2021-09-21,19.59
2021-09-22,19.59
2021-09-23,19.1
2021-09-24,19.47
2021-09-25,18.37
2021-09-26,19.04
2021-09-27,18.19
2021-09-28,18.37
2021-09-29,18.92
2021-09-30,18.74
2021-10-01,17.88
2021-10-02,18.19
2021-10-03,18.74
2021-10-04,19.41
2021-10-05,19.17
2021-10-06,19.04
2021-10-07,19.41
2021-10-08,19.04
2021-10-09,18.86
2021-10-10,19.53
2021-10-11,18.92
2021-10-12,18.37
2021-10-13,19.1
2021-10-14,19.71
2021-10-15,19.78
2021-10-16,19.47
2021-10-17,19.41
2021-10-18,19.35
2021-10-19,18.43
2021-10-20,18.98
2021-10-21,19.04
2021-10-22,18.68
2021-10-23,18.13
2021-10-24,17.82
2021-10-25,18.68
2021-10-26,18.13
2021-10-27,18.01
2021-10-28,18.37
2021-10-29,18.31
2021-10-30,18.43
2021-10-31,19.78
2021-11-01,18.92
2021-11-02,18.25
2021-11-03,18.43
2021-11-04,18.43
2021-11-05,18.68
2021-11-06,18.8
2021-11-07,18.31
2021-11-08,17.76
2021-11-09,17.82
2021-11-10,18.62
2021-11-11,18.55
2021-11-12,18.62
2021-11-13,18.49
2021-11-14,19.23
2021-11-15,19.53
2021-11-16,19.41
2021-11-17,18.92
2021-11-18,18.31
2021-11-19,18.98
2021-11-20,17.52
2021-11-21,16.48
2021-11-22,17.52
2021-11-23,18.43
2021-11-24,18.74
2021-11-25,18.8
2021-11-26,19.29
2021-11-27,18.55
2021-11-28,18.74
2021-11-29,18.19
2021-11-30,17.64
2021-12-01,18.01
2021-12-02,18.62
2021-12-03,18.31
2021-12-04,18.68
2021-12-05,18.01
2021-12-06,18.31
2021-12-07,17.33
2021-12-08,18.01
2021-12-09,18.01
2021-12-10,17.88
2021-12-11,18.31
2021-12-12,18.25
2021-12-13,18.74
2021-12-14,18.31
2021-12-15,18.31
2021-12-16,18.19
2021-12-17,17.64
2021-12-18,18.13
2021-12-19,17.88
2021-12-20,17.82
2021-12-21,17.76
2021-12-22,17.64
2021-12-23,16.91
2021-12-24,15.14
2021-12-25,14.59
2021-12-26,14.95
2021-12-27,15.69
2021-12-28,15.75
2021-12-29,16.6
2021-12-30,17.46
2021-12-31,17.46
